##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	DRR817419_forward.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	4808641
Total Bases	726.1 Mbp
Sequences flagged as poor quality	0
Sequence length	151
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	38.891540042186556	40.0	40.0	40.0	40.0	40.0
2	39.11792333842347	40.0	40.0	40.0	40.0	40.0
3	39.32086841167806	40.0	40.0	40.0	40.0	40.0
4	39.30177195594348	40.0	40.0	40.0	40.0	40.0
5	39.30497369215127	40.0	40.0	40.0	40.0	40.0
6	39.32706642063735	40.0	40.0	40.0	40.0	40.0
7	39.31445162988878	40.0	40.0	40.0	40.0	40.0
8	39.39283968173128	40.0	40.0	40.0	40.0	40.0
9	39.42825592511481	40.0	40.0	40.0	40.0	40.0
10-14	39.421642081411356	40.0	40.0	40.0	40.0	40.0
15-19	39.5655368741397	40.0	40.0	40.0	40.0	40.0
20-24	39.59888716999252	40.0	40.0	40.0	40.0	40.0
25-29	39.4847466467137	40.0	40.0	40.0	40.0	40.0
30-34	39.462111893984186	40.0	40.0	40.0	40.0	40.0
35-39	39.46528892466707	40.0	40.0	40.0	40.0	40.0
40-44	39.503602202784535	40.0	40.0	40.0	40.0	40.0
45-49	39.474825340465216	40.0	40.0	40.0	40.0	40.0
50-54	39.44524925025595	40.0	40.0	40.0	40.0	40.0
55-59	39.45442165468372	40.0	40.0	40.0	40.0	40.0
60-64	39.4587955307955	40.0	40.0	40.0	40.0	40.0
65-69	39.452055331225594	40.0	40.0	40.0	40.0	40.0
70-74	39.45059812117395	40.0	40.0	40.0	40.0	40.0
75-79	39.440575663685436	40.0	40.0	40.0	40.0	40.0
80-84	39.43142056144345	40.0	40.0	40.0	40.0	40.0
85-89	39.42650174966275	40.0	40.0	40.0	40.0	40.0
90-94	39.42024734223245	40.0	40.0	40.0	40.0	40.0
95-99	39.40427734156074	40.0	40.0	40.0	40.0	40.0
100-104	39.393684161491784	40.0	40.0	40.0	40.0	40.0
105-109	39.35818831141688	40.0	40.0	40.0	40.0	40.0
110-114	39.3390153267836	40.0	40.0	40.0	40.0	40.0
115-119	39.32114582893586	40.0	40.0	40.0	40.0	40.0
120-124	39.3199483180383	40.0	40.0	40.0	40.0	40.0
125-129	39.307730978461485	40.0	40.0	40.0	40.0	40.0
130-134	39.28522823808223	40.0	40.0	40.0	40.0	40.0
135-139	39.25121621680638	40.0	40.0	40.0	40.0	40.0
140-144	39.23792031885932	40.0	40.0	40.0	40.0	40.0
145-149	39.214805430474016	40.0	40.0	40.0	40.0	40.0
150-151	38.93648517325373	40.0	40.0	40.0	40.0	40.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.13956332375214942
1101	2	-0.2350672097866351
1101	3	-0.015377916920911616
1101	4	-0.4752418370526499
1101	5	-0.3998564231293571
1101	6	-0.2848741331858875
1101	7	-0.11481022549727982
1101	8	-0.08710272318415235
1101	9	-0.19564884432371343
1101	10-14	-0.2116012322546439
1101	15-19	-0.1974515523452567
1101	20-24	-0.21263120956825787
1101	25-29	-0.26769949717483144
1101	30-34	-0.28523870997876344
1101	35-39	-0.2888291127490703
1101	40-44	-0.30080080677716126
1101	45-49	-0.2716789584627435
1101	50-54	-0.30463488427885466
1101	55-59	-0.31123908065855943
1101	60-64	-0.2665835270322461
1101	65-69	-0.274827209899847
1101	70-74	-0.25708061052095843
1101	75-79	-0.2841933769925973
1101	80-84	-0.30288868774658084
1101	85-89	-0.3597781625313061
1101	90-94	-0.3041360386085188
1101	95-99	-0.3069622335123654
1101	100-104	-0.3116933161540203
1101	105-109	-0.38255979807229323
1101	110-114	-0.3998747893514363
1101	115-119	-0.3300310859386073
1101	120-124	-0.3290657102726442
1101	125-129	-0.32693794644738716
1101	130-134	-0.34735102936644324
1101	135-139	-0.32949496845318293
1101	140-144	-0.3137897298200656
1101	145-149	-0.2657476013129312
1101	150-151	-0.36872842348328305
1102	1	-0.36435478886637185
1102	2	-0.3524467111917957
1102	3	-0.08242147404354938
1102	4	-0.24356620823930086
1102	5	-0.3323757570285508
1102	6	-0.15876516591335843
1102	7	-0.21776936852151607
1102	8	-0.13115386372377458
1102	9	-0.2570523637169444
1102	10-14	-0.1802836453383705
1102	15-19	-0.1948543258683202
1102	20-24	-0.1557152616290196
1102	25-29	-0.19748090636090865
1102	30-34	-0.21233789254864632
1102	35-39	-0.26731366439755533
1102	40-44	-0.28345206040813054
1102	45-49	-0.28429360875740173
1102	50-54	-0.24411962844901325
1102	55-59	-0.3270897903855001
1102	60-64	-0.2942046976367223
1102	65-69	-0.3097358710750058
1102	70-74	-0.2847211543765482
1102	75-79	-0.28130022410495314
1102	80-84	-0.2544456311803174
1102	85-89	-0.2758994923596916
1102	90-94	-0.28183246218528524
1102	95-99	-0.25881752501319255
1102	100-104	-0.3431428833434822
1102	105-109	-0.3069518109651881
1102	110-114	-0.32419487904959254
1102	115-119	-0.3158600370828992
1102	120-124	-0.2910873574591051
1102	125-129	-0.3040473605155256
1102	130-134	-0.3429014779177493
1102	135-139	-0.3429265645305932
1102	140-144	-0.3140733057831824
1102	145-149	-0.30120864231037103
1102	150-151	-0.3128777621894656
1103	1	-2.2908518392483757E-4
1103	2	-0.3053699669334975
1103	3	-0.17815213720619738
1103	4	-0.296322669690511
1103	5	-0.19499769260988842
1103	6	-0.07009919737034664
1103	7	-0.18662489042986863
1103	8	-0.0744943671403746
1103	9	-0.1800930638387186
1103	10-14	-0.08252135705228625
1103	15-19	-0.14051240488299754
1103	20-24	-0.08087433452568149
1103	25-29	-0.13314607017324676
1103	30-34	-0.17290669884857834
1103	35-39	-0.1366653658150625
1103	40-44	-0.1339825673762718
1103	45-49	-0.11889020476493073
1103	50-54	-0.1737464490683962
1103	55-59	-0.1425240494941633
1103	60-64	-0.23429630656807632
1103	65-69	-0.17812189568721237
1103	70-74	-0.135147125551228
1103	75-79	-0.11813459274470262
1103	80-84	-0.10825427341509908
1103	85-89	-0.1748171570203283
1103	90-94	-0.15792806248328617
1103	95-99	-0.21802322355413395
1103	100-104	-0.23123232114681969
1103	105-109	-0.21447601228065594
1103	110-114	-0.24379064961423325
1103	115-119	-0.2908745204074279
1103	120-124	-0.21952554031511085
1103	125-129	-0.21234851375975694
1103	130-134	-0.18493266442946776
1103	135-139	-0.21460875622462794
1103	140-144	-0.18859026939607304
1103	145-149	-0.18406995023833161
1103	150-151	-0.18758436445330773
1104	1	-0.788033090141937
1104	2	-0.4833522680638396
1104	3	-0.4289633402128885
1104	4	-0.2393652523844949
1104	5	-0.39642366916814353
1104	6	-0.4211600916567946
1104	7	-0.2982105311497847
1104	8	-0.32292438531987244
1104	9	-0.247876919420996
1104	10-14	-0.12425197738308924
1104	15-19	-0.19282167854460397
1104	20-24	-0.16139288826110487
1104	25-29	-0.2317876625747104
1104	30-34	-0.2508565922960386
1104	35-39	-0.27247069480888797
1104	40-44	-0.2469745051227079
1104	45-49	-0.20623127858570456
1104	50-54	-0.2533225419419267
1104	55-59	-0.22378487973546868
1104	60-64	-0.28302737151766166
1104	65-69	-0.2722566057405089
1104	70-74	-0.2990169302366894
1104	75-79	-0.22601146973780573
1104	80-84	-0.2546462661948965
1104	85-89	-0.30380050509405265
1104	90-94	-0.22687297192567968
1104	95-99	-0.22592114724800894
1104	100-104	-0.2422660299509758
1104	105-109	-0.29573068063336905
1104	110-114	-0.35613027442840206
1104	115-119	-0.27831235513518493
1104	120-124	-0.23685854783858673
1104	125-129	-0.2747350170670515
1104	130-134	-0.2942211530780128
1104	135-139	-0.2948131306648847
1104	140-144	-0.2575636005496449
1104	145-149	-0.24903936320098552
1104	150-151	-0.25062029230760885
1105	1	0.03465489897001106
1105	2	0.2196272034117186
1105	3	-0.10913119776081004
1105	4	0.04792464213744552
1105	5	0.10571538039520334
1105	6	0.08900663171850454
1105	7	-0.07270298890185245
1105	8	0.13814287111655688
1105	9	-0.05507891556480615
1105	10-14	0.07141639054250959
1105	15-19	0.026535699248299238
1105	20-24	0.0962416813203788
1105	25-29	0.0454606078120392
1105	30-34	0.03021610816895759
1105	35-39	0.07953384188159873
1105	40-44	0.07445716097686983
1105	45-49	0.08034578844389273
1105	50-54	0.08549859903573775
1105	55-59	0.06196151926645399
1105	60-64	0.06758145234532975
1105	65-69	0.06441913430712987
1105	70-74	0.06130109176626064
1105	75-79	-0.0019999011770792663
1105	80-84	0.04720130100482578
1105	85-89	0.059303952204352584
1105	90-94	0.029031190487842196
1105	95-99	0.03286528804743938
1105	100-104	0.07222381920406207
1105	105-109	0.05076903582347825
1105	110-114	-0.03387553925769993
1105	115-119	0.007758190401844445
1105	120-124	0.051648200488500606
1105	125-129	0.011529245153660383
1105	130-134	0.038656469696171314
1105	135-139	0.07705621264916829
1105	140-144	0.12195755176973933
1105	145-149	0.07566972152171303
1105	150-151	0.10673651839898213
1106	1	-0.387816270716975
1106	2	-0.20607845282112436
1106	3	-0.1527775459211611
1106	4	0.035593505399390324
1106	5	0.046583035529742745
1106	6	-0.2304991343441003
1106	7	-0.14952890872612556
1106	8	-0.26163197786751624
1106	9	0.014827729135909351
1106	10-14	-0.15730628930373314
1106	15-19	-0.020121082739620988
1106	20-24	0.015444317234717175
1106	25-29	-0.014327420743697417
1106	30-34	-0.0686493503702934
1106	35-39	0.06772055248017494
1106	40-44	-0.024729549621703484
1106	45-49	0.0031629218870676823
1106	50-54	-0.030271856757778437
1106	55-59	0.043214676872167956
1106	60-64	-0.01782986012034371
1106	65-69	-0.0057126614095110995
1106	70-74	-0.005481994450100558
1106	75-79	-0.07055014829404627
1106	80-84	-0.005335766540483178
1106	85-89	-0.011753708421672115
1106	90-94	-0.10089247782627098
1106	95-99	-0.031033668569797612
1106	100-104	-0.0562446047388363
1106	105-109	-0.08132541777344926
1106	110-114	-0.08305730751690277
1106	115-119	-0.04632857511160182
